tax.Kingdom,tax.Supergroup,tax.Division,tax.Class,tax.Order,tax.Family,tax.Genus,tax.Species,boot.Kingdom,boot.Supergroup,boot.Division,boot.Class,boot.Order,boot.Family,boot.Genus,boot.Species
Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_pygmaea,100,100,100,100,99,98,98,76
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae_G,Strobilidiidae_G_X,Strobilidiidae_G_X_sp.,100,100,100,100,100,100,100,100
Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,100,100,100,100,100,100,100,100
Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,100,100,100,100,100,100,100,100
Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,Cryothecomonas_aestivalis,100,100,100,100,100,100,100,100
Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Centropages,Centropages_typicus,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Stenosemellidae,Stenosemella,Stenosemella_pacifica,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.,100,100,100,100,28,28,28,28
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Tintinnida,TIN_05,Tintinnopsis_05,Tintinnopsis_tubulosoides,100,100,100,100,100,96,96,61
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Hemiselmis,Hemiselmis_cryptochromatica,100,100,100,100,100,100,95,91
Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Luciella,Luciella_sp.,100,100,100,100,100,99,96,96
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_furca,100,100,100,100,100,100,100,100
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae_I,Pelagostrobilidium,Pelagostrobilidium_neptuni,100,100,100,100,100,100,100,100
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Corethron,Corethron_hystrix,100,100,100,100,100,100,100,96
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,100,100,100,100,100,100,100,74
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,100,100,100,100,97,97,94,75
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae_A,Rimostrombidium_A,Rimostrombidium_A_sp.,100,100,100,100,99,98,98,98
Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Polydora,Polydora_haswelli,100,100,100,100,100,100,84,78
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos_horridus,100,100,100,100,100,100,100,70
Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Polydora,Polydora_giardi,100,100,100,100,100,100,73,61
